Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","024","Angola","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1830679","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","105","E","Estimated value"
"QV","Value of Agricultural Production","028","Antigua and Barbuda","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","111","E","Estimated value"
"QV","Value of Agricultural Production","032","Argentina","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","101685","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1174","E","Estimated value"
"QV","Value of Agricultural Production","052","Barbados","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","985","E","Estimated value"
"QV","Value of Agricultural Production","084","Belize","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","630","E","Estimated value"
"QV","Value of Agricultural Production","204","Benin","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1049529","E","Estimated value"
"QV","Value of Agricultural Production","204","Benin","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1664738","E","Estimated value"
"QV","Value of Agricultural Production","068","Bolivia (Plurinational State of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","45459","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2244751","E","Estimated value"
"QV","Value of Agricultural Production","076","Brazil","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1800077","E","Estimated value"
"QV","Value of Agricultural Production","096","Brunei Darussalam","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3446","E","Estimated value"
"QV","Value of Agricultural Production","096","Brunei Darussalam","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2739","E","Estimated value"
"QV","Value of Agricultural Production","854","Burkina Faso","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","9508","E","Estimated value"
"QV","Value of Agricultural Production","108","Burundi","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","532533","E","Estimated value"
"QV","Value of Agricultural Production","108","Burundi","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","715350","E","Estimated value"
"QV","Value of Agricultural Production","132","Cabo Verde","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","6276","E","Estimated value"
"QV","Value of Agricultural Production","132","Cabo Verde","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","6056","E","Estimated value"
"QV","Value of Agricultural Production","116","Cambodia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1300912","E","Estimated value"
"QV","Value of Agricultural Production","120","Cameroon","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1277793","E","Estimated value"
"QV","Value of Agricultural Production","140","Central African Republic","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","415020","E","Estimated value"
"QV","Value of Agricultural Production","148","Chad","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","137714","E","Estimated value"
"QV","Value of Agricultural Production","156","China, mainland","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","492868","E","Estimated value"
"QV","Value of Agricultural Production","170","Colombia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","635179","E","Estimated value"
"QV","Value of Agricultural Production","170","Colombia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","293503","E","Estimated value"
"QV","Value of Agricultural Production","178","Congo","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2281159","E","Estimated value"
"QV","Value of Agricultural Production","188","Costa Rica","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","37498","E","Estimated value"
"QV","Value of Agricultural Production","188","Costa Rica","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","23742","E","Estimated value"
"QV","Value of Agricultural Production","384","Côte d'Ivoire","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1350252","E","Estimated value"
"QV","Value of Agricultural Production","214","Dominican Republic","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","66104","E","Estimated value"
"QV","Value of Agricultural Production","214","Dominican Republic","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","60344","E","Estimated value"
"QV","Value of Agricultural Production","218","Ecuador","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","12250","E","Estimated value"
"QV","Value of Agricultural Production","218","Ecuador","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","19380","E","Estimated value"
"QV","Value of Agricultural Production","222","El Salvador","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","6692","E","Estimated value"
"QV","Value of Agricultural Production","222","El Salvador","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","5545","E","Estimated value"
"QV","Value of Agricultural Production","242","Fiji","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","26395","E","Estimated value"
"QV","Value of Agricultural Production","242","Fiji","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","39157","E","Estimated value"
"QV","Value of Agricultural Production","270","Gambia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","7073","E","Estimated value"
"QV","Value of Agricultural Production","288","Ghana","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1982223","E","Estimated value"
"QV","Value of Agricultural Production","288","Ghana","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","4666741","E","Estimated value"
"QV","Value of Agricultural Production","324","Guinea","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","110552","E","Estimated value"
"QV","Value of Agricultural Production","624","Guinea-Bissau","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","56345","E","Estimated value"
"QV","Value of Agricultural Production","328","Guyana","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","13945","E","Estimated value"
"QV","Value of Agricultural Production","328","Guyana","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","15423","E","Estimated value"
"QV","Value of Agricultural Production","340","Honduras","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","7251","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3181458","E","Estimated value"
"QV","Value of Agricultural Production","360","Indonesia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3185915","E","Estimated value"
"QV","Value of Agricultural Production","388","Jamaica","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","10602","E","Estimated value"
"QV","Value of Agricultural Production","388","Jamaica","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","10633","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","422707","E","Estimated value"
"QV","Value of Agricultural Production","404","Kenya","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","205823","E","Estimated value"
"QV","Value of Agricultural Production","418","Lao People's Democratic Republic","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","357774","E","Estimated value"
"QV","Value of Agricultural Production","450","Madagascar","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","339860","E","Estimated value"
"QV","Value of Agricultural Production","454","Malawi","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1979041","E","Estimated value"
"QV","Value of Agricultural Production","458","Malaysia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","11229","E","Estimated value"
"QV","Value of Agricultural Production","458","Malaysia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","12298","E","Estimated value"
"QV","Value of Agricultural Production","462","Maldives","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","8","E","Estimated value"
"QV","Value of Agricultural Production","466","Mali","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","23004","E","Estimated value"
"QV","Value of Agricultural Production","466","Mali","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","27828","E","Estimated value"
"QV","Value of Agricultural Production","480","Mauritius","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","407","E","Estimated value"
"QV","Value of Agricultural Production","480","Mauritius","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","232","E","Estimated value"
"QV","Value of Agricultural Production","484","Mexico","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","5397","E","Estimated value"
"QV","Value of Agricultural Production","484","Mexico","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","6299","E","Estimated value"
"QV","Value of Agricultural Production","508","Mozambique","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1300000","E","Estimated value"
"QV","Value of Agricultural Production","540","New Caledonia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1978","E","Estimated value"
"QV","Value of Agricultural Production","540","New Caledonia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2236","E","Estimated value"
"QV","Value of Agricultural Production","558","Nicaragua","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","42484","E","Estimated value"
"QV","Value of Agricultural Production","558","Nicaragua","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","39461","E","Estimated value"
"QV","Value of Agricultural Production","562","Niger","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","167538","E","Estimated value"
"QV","Value of Agricultural Production","566","Nigeria","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","8248366","E","Estimated value"
"QV","Value of Agricultural Production","591","Panama","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","5676","E","Estimated value"
"QV","Value of Agricultural Production","591","Panama","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","8584","E","Estimated value"
"QV","Value of Agricultural Production","600","Paraguay","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","144779","E","Estimated value"
"QV","Value of Agricultural Production","600","Paraguay","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","200100","E","Estimated value"
"QV","Value of Agricultural Production","604","Peru","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","260545","E","Estimated value"
"QV","Value of Agricultural Production","604","Peru","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","239600","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","426143","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","349888","E","Estimated value"
"QV","Value of Agricultural Production","630","Puerto Rico","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","94","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","266253","E","Estimated value"
"QV","Value of Agricultural Production","646","Rwanda","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","360154","E","Estimated value"
"QV","Value of Agricultural Production","662","Saint Lucia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","705","E","Estimated value"
"QV","Value of Agricultural Production","662","Saint Lucia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3362","E","Estimated value"
"QV","Value of Agricultural Production","670","Saint Vincent and the Grenadines","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1306","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","273445","E","Estimated value"
"QV","Value of Agricultural Production","686","Senegal","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","311849","E","Estimated value"
"QV","Value of Agricultural Production","690","Seychelles","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","386","E","Estimated value"
"QV","Value of Agricultural Production","694","Sierra Leone","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","375197","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","76640","E","Estimated value"
"QV","Value of Agricultural Production","144","Sri Lanka","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","76658","E","Estimated value"
"QV","Value of Agricultural Production","740","Suriname","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","7660","E","Estimated value"
"QV","Value of Agricultural Production","740","Suriname","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","3419","E","Estimated value"
"QV","Value of Agricultural Production","764","Thailand","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2172262","E","Estimated value"
"QV","Value of Agricultural Production","764","Thailand","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1891019","E","Estimated value"
"QV","Value of Agricultural Production","626","Timor-Leste","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","19368","E","Estimated value"
"QV","Value of Agricultural Production","626","Timor-Leste","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","14398","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","265203","E","Estimated value"
"QV","Value of Agricultural Production","768","Togo","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","225286","E","Estimated value"
"QV","Value of Agricultural Production","780","Trinidad and Tobago","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","876","E","Estimated value"
"QV","Value of Agricultural Production","780","Trinidad and Tobago","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","906","E","Estimated value"
"QV","Value of Agricultural Production","834","United Republic of Tanzania","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1511032","E","Estimated value"
"QV","Value of Agricultural Production","862","Venezuela (Bolivarian Republic of)","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","397854","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2286820","E","Estimated value"
"QV","Value of Agricultural Production","704","Viet Nam","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1566930","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","1108313","E","Estimated value"
"QV","Value of Agricultural Production","894","Zambia","58","Gross Production Value (constant 2014-2016 thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","2780023","E","Estimated value"
